"Widget";"Layout Name "
"Button";"Button"
"Checkbutton";"Checkbutton"
"Combobox";"Combobox"
"Entry";"Entry"
"Frame";"Frame"
"Label";"Label"
"LabelFrame";"Labelframe"
"LabelFrame - Label";"Label"
"Menubutton";"Menubutton"
"Notebook";"Notebook"
"Notebook - Tab";"Notebook"
"PanedWindow";"PanedWindow"
"PanedWindow - Sash";"Sash"
"Progressbar";"Progressbar"
"Radiobutton";"Radiobutton"
"Scale";"Scale"
"Scrollbar";"Scrollbar"
"Separator";"Separator"
"Sizegrip";"Sizegrip"
"Spinbox";"Spinbox"
"Treeview";"Treeview"
"Treeview - Heading";"Treeheading"
